Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Fayaoue,NC,82.8,-20.65,166.5333,Chez Dydyce Guesthouse
3,Georgetown,MY,78.75,5.4112,100.3354,Cititel Penang
4,Garowe,SO,65.7,8.4054,48.4845,Curubo Hotel
10,Vao,NC,79.95,-22.6667,167.4833,Hotel Kou-Bugny
11,Hilo,US,76.8,19.7297,-155.09,Hilo Hawaiian Hotel
12,Busselton,AU,74.43,-33.65,115.3333,Observatory Guest House
13,Cayenne,GF,76.14,4.9333,-52.3333,Hôtel Le Dronmi
14,Rikitea,PF,79.32,-23.1203,-134.9692,People ThankYou
15,Kapaa,US,80.58,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Avarua,CK,84.25,-21.2078,-159.775,Paradise Inn
27,Hobart,AU,74.01,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
30,Airai,TL,73.24,-8.9266,125.4092,
32,Port Elizabeth,ZA,67.1,-33.918,25.5701,39 On Nile Guest House
35,Maracai,BR,74.82,-22.6106,-50.6672,Hotel Maracai Pousada
37,Caxito,AO,81.25,-8.5785,13.6643,
41,Dwarka,IN,72.61,22.2394,68.9678,Hotel Narayan Avezika Comfort
42,Daru,PG,87.94,-9.0763,143.2092,Daru Lodge
46,Acandi,CO,75.4,8.5063,-77.2778,Hotel Patio Bonito
48,Thinadhoo,MV,83.39,0.5333,72.9333,
49,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
52,Vaini,TO,79.65,-21.2,-175.2,Keleti Beach Resort
56,Tura,IN,68.9,25.5198,90.2201,Hotel RIKMAN Continental
60,Bredasdorp,ZA,66.0,-34.5322,20.0403,Bredasdorp Country Manor
61,Lorengau,PG,77.77,-2.0226,147.2712,Lorengau Harbourside Hotel
62,Jaguey Grande,CU,75.85,22.5269,-81.1286,Barberia hendrix
68,Cockburn Town,TC,77.47,21.4612,-71.1419,Osprey Beach Hotel
69,Codrington,AU,68.9,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
70,Kununurra,AU,84.43,-15.7667,128.7333,Hotel Kununurra
71,Taoudenni,ML,79.29,22.6783,-3.9836,
72,Jacareacanga,BR,74.01,-6.2222,-57.7528,Casa do Ian😎
73,Isangel,VU,79.03,-19.55,169.2667,Tanna Lodge
75,Waipawa,NZ,65.93,-41.4122,175.5153,Tora Coastal Walk
76,Geraldton,AU,75.0,-28.7667,114.6,Broadwater Mariner Resort
77,Bowen,AU,87.85,-20.0167,148.2333,Castle Motor Lodge Motel
84,Boca Do Acre,BR,73.89,-8.7522,-67.3978,Hotel Sao Pedro
85,Vila Velha,BR,75.83,-20.3297,-40.2925,Hotel Vitória Palace
88,Caravelas,BR,75.74,-17.7125,-39.2481,Pousada dos Navegantes
89,San Joaquin,US,70.38,37.9333,-121.3011,University Plaza Waterfront Hotel
91,Saint-Philippe,RE,78.33,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
92,Upington,ZA,73.92,-28.4478,21.2561,River Place Manor
93,Gopalur,IN,71.35,16.6167,77.8,Dhaba- Motel
94,Cape Town,ZA,67.12,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
97,Port Alfred,ZA,71.62,-33.5906,26.891,The Halyards Hotel
101,Atuona,PF,78.82,-9.8,-139.0333,Villa Enata
102,Touros,BR,80.26,-5.1989,-35.4608,INN NEW HORIZON
103,Mitsamiouli,KM,80.94,-11.3847,43.2844,Foyer ADM
104,Jaicos,BR,77.68,-7.3592,-41.1378,Hotel Jaicós
106,Maryborough,AU,83.57,-25.5333,152.7,Blue Shades Motel
107,Victoria,HK,68.56,22.2855,114.1577,Mini Hotel Central
108,Lucapa,AO,65.89,-8.4192,20.7447,Residência Ulisses Dos Santos
109,Richards Bay,ZA,74.14,-28.783,32.0377,BON Hotel Waterfront Richards Bay
111,Sawakin,SD,72.79,19.1059,37.3321,فندق الدويم
113,Cabo San Lucas,MX,68.5,22.8909,-109.9124,Hotel Tesoro Los Cabos
114,Puerto Ayora,EC,77.18,-0.7393,-90.3518,Finch Bay Galapagos Hotel
115,Castro,BR,67.51,-24.7911,-50.0119,CHACARA BAILLY
117,Guiratinga,BR,75.18,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
118,Namatanai,PG,84.83,-3.6667,152.4333,Seagulls Inn Namatani
121,Padang,ID,81.82,-0.9492,100.3543,Mercure Padang
122,Bambanglipuro,ID,82.65,-7.95,110.2833,Puri Brata
124,Gizo,SB,83.19,-8.103,156.8419,Imagination Island
126,Pontianak,ID,84.72,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
129,Moerai,PF,82.04,-22.4333,-151.3333,Le Manotel
133,Alta Floresta,BR,72.54,-9.8756,-56.0861,Floresta Amazonica Hotel
134,Ombessa,CM,69.89,4.603,11.2565,Hotel Elma**
137,Hithadhoo,MV,83.48,-0.6,73.0833,Scoop Guest House
144,Biltine,TD,71.1,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
153,Cap Malheureux,MU,80.37,-19.9842,57.6142,Pereybere Hotel & Spa
154,Pisco,PE,70.32,-13.7,-76.2167,Hotel San Isidro Oficial
155,Labis,MY,80.96,2.385,103.021,Labis Sunrise Farm
158,Camana,PE,71.92,-16.6228,-72.7111,Hostal Morales
161,Yenagoa,NG,78.48,4.9247,6.2642,Aridolf Resort Wellness and Spa
162,San Policarpo,PH,81.32,12.1791,125.5072,Agapita M. Nicart
164,Mildura,AU,78.76,-34.2,142.15,Mercure Hotel Mildura
165,Wanning,CN,74.23,18.8003,110.3967,Paradise Hotel
166,Quelimane,MZ,70.7,-17.8786,36.8883,Hotel Flamingo
167,Marawi,PH,79.3,7.9986,124.2928,Derogongan Residence
168,Cidreira,BR,73.8,-30.1811,-50.2056,Hotel Castelo
169,Pacific Grove,US,68.2,36.6177,-121.9166,Lovers Point Inn
172,Srandakan,ID,82.76,-7.9386,110.2506,Puri Brata
174,Miri,MY,82.33,4.4148,114.0089,"Mega Hotel, Miri"
175,Tessalit,ML,74.55,20.1986,1.0114,
177,Koboko,UG,67.77,3.4136,30.9599,Hotel Diplomat
179,Souillac,MU,77.7,-20.5167,57.5167,Shanti Maurice Resort & Spa
180,Rio Grande,BR,70.03,-32.035,-52.0986,Hotel Atlântico Rio Grande
185,Morondava,MG,78.46,-20.2833,44.2833,La Case Bambou
186,Naze,JP,66.7,28.3667,129.4833,Shishime Hotel
187,Port Moresby,PG,81.82,-9.4431,147.1797,Lamana Hotel (Port Moresby)
191,Hambantota,LK,77.59,6.1241,81.1185,Bungalow 63
192,Mackay,AU,87.66,-21.15,149.2,International Lodge Motel
194,Mumford,GH,78.53,5.2618,-0.759,Spanish Villa
201,Bengkulu,ID,80.42,-3.8004,102.2655,Grage Hotel Bengkulu
204,East London,ZA,73.22,-33.0153,27.9116,Tu Casa
205,Salinopolis,BR,79.29,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
207,Alofi,NU,84.09,-19.0595,-169.9187,Taloa Heights
210,Itarema,BR,79.25,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
211,New Norfolk,AU,67.8,-42.7826,147.0587,The Shingles Riverside Cottages
212,Bubaque,GW,75.76,11.2833,-15.8333,"Casa Dora, Bubaque"
213,Carnarvon,AU,79.75,-24.8667,113.6333,Hospitality Carnarvon
215,Nanakuli,US,75.96,21.3906,-158.1547,Camp Pālehua
217,Inhambane,MZ,73.42,-23.865,35.3833,Oceano
218,Marsabit,KE,66.79,2.3284,37.9899,Chicho Hotel
221,Kongolo,CD,68.52,-5.3833,27.0,GUEST HOUSE OASIS
222,Umuarama,BR,75.51,-23.7664,-53.325,HOTEL CAIUÁ
227,Bulungu,CD,70.41,-4.55,18.6,
230,Montevideo,UY,66.42,-34.8335,-56.1674,Besares Social Club
231,Broken Hill,AU,80.71,-31.95,141.4333,Royal Exchange Hotel
232,Salta,AR,65.98,-24.7859,-65.4117,Hotel Alejandro I
233,Kibala,TD,79.0,9.1104,18.3463,hotel safari
234,Ulladulla,AU,68.16,-35.35,150.4667,Sandpiper Motel
236,Veraval,IN,73.27,20.9,70.3667,Lords Inn Somnath
238,Nishihara,JP,70.72,26.1842,127.7558,Minshuku Agaihama
239,Flinders,AU,73.18,-34.5833,150.8552,Shellharbour Resort & Conference Centre
240,Belmonte,BR,76.82,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
253,Kavieng,PG,84.52,-2.5744,150.7967,Nusa Island Retreat
256,Soyo,AO,80.46,-6.1349,12.3689,Hotel Mpampa
258,Nelson Bay,AU,73.96,-32.7167,152.15,Mantra Nelson Bay
259,Esperance,AU,80.96,-33.8667,121.9,Hospitality Esperance
263,Bensonville,LR,75.33,6.4461,-10.6125,Moinga
267,Honiara,SB,80.51,-9.4333,159.95,Heritage Park Hotel
270,Iracoubo,GF,76.32,5.4802,-53.2011,Le Gîte d’Iracoubo
271,Faanui,PF,82.13,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
272,Lakes Entrance,AU,76.21,-37.8811,147.981,The Esplanade Resort & Spa
274,Progreso,MX,73.47,21.2833,-89.6667,Playa Linda Hotel
275,Atambua,ID,80.98,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
280,Palora,EC,65.25,-1.7,-77.9333,Rancho grande
281,Kralendijk,BQ,78.78,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
282,Ambilobe,MG,72.37,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
286,Safaga,EG,66.29,26.7292,33.9365,Lamar Resort Abu Soma
288,Tenenkou,ML,81.21,14.4572,-4.9169,
290,Vilhena,BR,69.49,-12.7406,-60.1458,Hotel Mirage
292,Djambala,CG,68.58,-2.5447,14.7533,Hotel Ravin D'or
293,Pittsburg,US,68.07,38.028,-121.8847,Hampton Inn & Suites Pittsburg
294,Chuy,UY,65.82,-33.6971,-53.4616,Nuevo Hotel Plaza
296,Buchanan,LR,78.37,5.8808,-10.0467,Kamaneahn Hotel Inc
297,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
298,San Lorenzo,PY,79.09,-25.3333,-57.5333,Canarias Hotel
300,Sinnamary,GF,76.19,5.3833,-52.95,ALETHEIA Appartement Sinnamary
301,Poum,NC,82.38,-20.2333,164.0167,
302,Port Lincoln,AU,67.59,-34.7333,135.8667,Port Lincoln Hotel
305,Adela,PH,88.21,12.4416,120.9729,De Kack's Private Resort
306,Baturaja,ID,81.28,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
310,Butaritari,KI,82.2,3.0707,172.7902,Isles Sunset Lodge
313,Kavaratti,IN,81.21,10.5669,72.642,Hotels in Lakshadweep Islands
322,La Libertad,EC,76.87,-2.2333,-80.9,Playa Canela Hotel Boutique
330,Rayong,TH,84.72,12.8333,101.4333,Suan Palm Garden View Hotel
333,Sungaipenuh,ID,72.81,-2.0833,101.3833,penginapan citra alam
334,Resistencia,AR,75.58,-27.4606,-58.9839,Niyat Urban Hotel
335,Sao Filipe,CV,69.67,14.8961,-24.4956,Hotel Xaguate
339,Vung Tau,VN,81.61,10.346,107.0843,Seaside Resort
341,Te Anau,NZ,67.32,-45.4167,167.7167,Kingsgate Hotel Te Anau
343,Bambous Virieux,MU,77.22,-20.3428,57.7575,Casa Tia Villa
347,Gao,ML,74.5,16.6362,1.637,
348,Pasir Gudang,MY,82.85,1.4584,103.8805,Swan Garden Hotel
351,Bandarbeyla,SO,76.78,9.4942,50.8122,JABIR HOTEL
353,Lady Frere,ZA,67.19,-31.7031,27.2329,Goshen BnB
355,Olinda,BR,79.88,-8.0089,-34.8553,Flat Quatro Rodas Olinda
356,Puro,PH,81.1,12.4841,123.3827,
360,Sassandra,CI,77.09,4.95,-6.0833,la terrasse
363,Tera,NE,80.4,14.0078,0.7531,Hotel Dar es salam
365,Grand Gaube,MU,80.31,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
370,Anloga,GH,80.29,5.7947,0.8973,Pin Drop Hotel
372,Arraial Do Cabo,BR,76.8,-22.9661,-42.0278,Pousada Porto Praia
373,Foumbot,CM,66.85,5.5079,10.6356,HÔTEL ROYAL
374,Sao Joao Da Barra,BR,76.93,-21.6403,-41.0511,Pousada Porto De Canoas
375,Monywa,MM,75.34,22.1167,95.1333,Monywa Hotel
376,Ewa Beach,US,80.55,21.3156,-158.0072,Base Lodging
378,Coquimbo,CL,66.16,-29.9533,-71.3436,Hotel San Juan
380,Baillif,GP,74.7,16.0202,-61.7463,Hôtel Saint-Georges
381,Oriximina,BR,75.97,-1.7656,-55.8661,Pousada Tia Amélia
385,Bac Lieu,VN,83.97,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
387,General Roca,AR,66.6,-39.0333,-67.5833,Hotel El Recreo
389,Takoradi,GH,78.66,4.8845,-1.7554,Raybow International Hotel
393,Angoram,PG,76.89,-4.0625,144.0661,
396,Alirajpur,IN,66.87,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
399,Bara,NG,72.43,10.3744,10.7288,
400,Taltal,CL,65.73,-25.4,-70.4833,Residencial Karime
402,Kaduna,NG,70.38,10.5222,7.4383,HAMDALA HOTEL
403,Soc Trang,VN,86.81,9.6033,105.98,Phu Quy Hotel
406,Soe,ID,79.5,-9.8607,124.284,Dena Hotel
408,Manado,ID,83.07,1.487,124.8455,Aryaduta Hotel
409,Puerto Escondido,MX,78.4,15.85,-97.0667,Aldea del Bazar Hotel and Spa
411,Chabahar,IR,71.1,25.2919,60.643,هتل گدروشیا
415,Dingle,PH,83.23,10.9995,122.6711,SEGAYA PROPERTY
419,Oistins,BB,77.09,13.0667,-59.5333,Butterfly Beach Hotel
425,Bria,CF,70.39,6.5423,21.9863,WFP Guesthouse
426,Maragogi,BR,79.14,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
427,Okato,NZ,68.88,-39.2,173.8833,Goodin Country Garden
430,Otukpo,NG,77.07,7.1913,8.1329,Queen s Hotel
431,Eyl,SO,74.3,7.9803,49.8164,Amiin Hotel
432,Acarau,BR,78.78,-2.8856,-40.12,castelo pizzaria
433,Pimentel,PE,73.65,-6.8367,-79.9342,Casona Del Muelle
434,Matara,LK,76.73,5.9485,80.5353,Amaloh Boutique Resort
436,San Cristobal,VE,69.98,7.7669,-72.225,Pirineos
437,Waingapu,ID,83.93,-9.6567,120.2641,Pondok Wisata Elim
441,Ambanja,MG,73.9,-13.6833,48.45,Hotel Salama and Fast Food
445,Paka,MY,82.33,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
446,Ishigaki,JP,77.13,24.3448,124.1572,Hotel Peace Land Ishigakijima
448,Huhi,MX,75.16,20.7167,-89.1667,cenote de la tortuga
449,Labuhan,ID,81.81,-6.8844,112.2051,DoubleFAG
452,Surgana,IN,67.73,20.5667,73.6167,Taj Hotel
456,Pontian Kecil,MY,81.57,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
458,Laranjeiras Do Sul,BR,67.24,-25.4078,-52.4161,Hotel Palmeiras
460,Cabatuan,PH,83.73,10.8794,122.486,MVC Transient Room
462,Manggar,ID,82.33,-2.8833,108.2667,Guest Hotel
464,Presidencia Roque Saenz Pena,AR,75.47,-26.7852,-60.4388,Hotel Gualok
468,Namibe,AO,73.08,-15.1961,12.1522,Hotel Chik Chik Namibe
469,Tadine,NC,80.67,-21.55,167.8833,
470,San Pedro,PH,83.55,14.35,121.0167,Esquivel's Garden And Resort
471,Popondetta,PG,80.62,-8.7537,148.2534,Timos Transit House
472,Maceio,BR,78.24,-9.6658,-35.7353,Hotel Ponta Verde Maceió
477,Charlestown,AU,73.11,-32.95,151.6667,Panorama Motor Inn Hotel
484,Boma,GH,72.57,7.0805,-2.1697,Obaatanpa Hotel
486,Quatre Cocos,MU,78.42,-20.2078,57.7625,Sunrise Attitude Hotel
489,La Asuncion,VE,76.51,11.0333,-63.8628,Colinas de Matasiete
490,Cabo Rojo,PR,75.4,18.0866,-67.1457,Hotel Perichi's
494,Bairiki,KI,81.75,1.3292,172.9752,Tarawa Boutique Hotel
496,Villamontes,BO,76.87,-21.25,-63.5,Hotel Raldes
498,Mount Gambier,AU,70.27,-37.8333,140.7667,The Commodore
499,Ixtapa,MX,66.42,20.7,-105.2,hotel la terminal
501,Balingasay,PH,82.44,16.3573,119.8564,Rock Garden Resort
503,Hirara,JP,71.82,24.8,125.2833,Hotel Atoll Emerald Miyakojima
504,Krabi,TH,81.48,8.0726,98.9105,Tharapark View Hotel
506,Pakxe,LA,85.89,15.1167,105.7833,Champasak Palace Hotel
507,Vanimo,PG,81.23,-2.6741,141.3028,Vahmoneh Lodge Vanimo
508,Montego Bay,JM,78.6,18.4712,-77.9188,Sunscape Splash Montego Bay
510,Pochutla,MX,74.25,15.7432,-96.4661,Hotel Posada San Jose
513,Uberaba,BR,77.58,-19.7483,-47.9319,Tamareiras Park Hotel
514,Dourados,BR,75.6,-22.2211,-54.8056,Alphonsus Hotel
516,Sibolga,ID,79.0,1.7427,98.7792,Hotel Syariah CN Darussalam
519,Ranau,MY,75.85,5.9538,116.6641,The Second Room
520,Harindanga,IN,75.4,22.0383,88.3214,Hazi Home
525,Harper,LR,79.45,4.375,-7.7169,Screensaver
527,Ormara,PK,70.84,25.2088,64.6357,Kenara Colony house for Rent
528,Libreville,GA,79.75,0.3925,9.4537,Le Méridien Re-Ndama
529,De Aar,ZA,66.04,-30.6497,24.0123,Nyibiba Guesthouse
530,Sorong,ID,84.0,-0.8833,131.25,Waigo Splash Hotel
533,Byron Bay,AU,82.51,-28.65,153.6167,Backpackers Inn
537,Voh,NC,84.09,-20.9667,164.7,Le gîte du Koniambo
539,Can Tho,VN,82.38,10.0333,105.7833,Kim Lan Hotel Can Tho
541,Calvinia,ZA,65.93,-31.4707,19.776,Die Lemoenhuis
543,Kaili,ID,78.12,-3.4626,120.2147,
545,Conceicao Do Araguaia,BR,74.52,-8.2578,-49.2647,Tarumã Tropical Hotel
546,Birao,CF,75.65,10.2849,22.7882,
547,Luwuk,ID,87.42,-0.9516,122.7875,Hotel Santika Luwuk
549,Porto Walter,BR,72.59,-8.2686,-72.7439,Secretaria de saúde
550,Saquena,PE,72.81,-4.6667,-73.5167,
551,Angoche,MZ,75.78,-16.2325,39.9086,Guest House HESADA
553,San Juan,AR,77.5,-31.5375,-68.5364,Hotel Provincial
554,La Palma,US,81.21,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
556,Meulaboh,ID,75.2,4.1363,96.1285,Kost Pria
559,Hervey Bay,AU,81.21,-25.2986,152.8535,Shelly Bay Resort
562,Cabedelo,BR,79.74,-6.9811,-34.8339,Hotel Pigalle
565,Ternate,ID,83.84,0.8,127.4,Sahid Bela Ternate Hotel
566,Mayumba,GA,78.26,-3.432,10.6554,LIKWALE LODGE
567,Manchar,IN,69.57,19.0,73.9333,Niwara Lodge
